scenario,family,model,n_train,accuracy,auc_roc,f1,precision,recall,block,ldp_eps,aug_method
fl_ldp_eps5_eg_eo,rf,eg_eo_rf,5554,0.6763754045307443,0.722507176629517,0.6415770609318997,0.6485507246376812,0.6347517730496454,ldp,5.0,fairlearn
fl_ldp_eps5_eg_eo,xgb,eg_eo_xgb,5554,0.6343042071197411,0.6963546943600136,0.5860805860805861,0.6060606060606061,0.5673758865248227,ldp,5.0,fairlearn
fl_ldp_eps5_eg_tpr,lr,eg_tpr_lr,5554,0.6666666666666666,0.7140957446808511,0.59765625,0.6652173913043479,0.5425531914893617,ldp,5.0,fairlearn
fl_ldp_eps5_eg_tpr,rf,eg_tpr_rf,5554,0.6731391585760518,0.7237841945288753,0.6353790613718412,0.6470588235294118,0.624113475177305,ldp,5.0,fairlearn
fl_ldp_eps5_eg_tpr,xgb,eg_tpr_xgb,5554,0.6472491909385113,0.6977372509287403,0.605072463768116,0.6185185185185185,0.5921985815602837,ldp,5.0,fairlearn
fl_ldp_eps5_gs_dp,lr,gs_dp_lr,5554,0.6585760517799353,0.7112462006079028,0.5870841487279843,0.6550218340611353,0.5319148936170213,ldp,5.0,fairlearn
fl_ldp_eps5_gs_dp,rf,gs_dp_rf,5554,0.6537216828478964,0.7127659574468086,0.6178571428571429,0.6223021582733813,0.6134751773049646,ldp,5.0,fairlearn
fl_ldp_eps5_gs_dp,xgb,gs_dp_xgb,5554,0.6440129449838188,0.6888720027017899,0.6057347670250897,0.6123188405797102,0.599290780141844,ldp,5.0,fairlearn
fl_ldp_eps5_gs_eo,lr,gs_eo_lr,5554,0.6763754045307443,0.722243329956096,0.6124031007751939,0.6752136752136753,0.5602836879432624,ldp,5.0,fairlearn
fl_ldp_eps5_gs_eo,rf,gs_eo_rf,5554,0.6747572815533981,0.729968760553867,0.6284658040665435,0.6563706563706564,0.6028368794326241,ldp,5.0,fairlearn
fl_ldp_eps5_gs_eo,xgb,gs_eo_xgb,5554,0.6407766990291263,0.7013888888888888,0.5948905109489052,0.6127819548872181,0.5780141843971631,ldp,5.0,fairlearn
fl_ldp_eps5_to_dp,lr,to_dp_lr,5554,0.656957928802589,0.722243329956096,0.636986301369863,0.6158940397350994,0.6595744680851063,ldp,5.0,fairlearn
fl_ldp_eps5_to_dp,rf,to_dp_rf,5554,0.6747572815533981,0.729968760553867,0.6633165829145728,0.6285714285714286,0.7021276595744681,ldp,5.0,fairlearn
fl_ldp_eps5_to_dp,xgb,to_dp_xgb,5554,0.6294498381877023,0.7013888888888888,0.6058519793459552,0.5886287625418061,0.624113475177305,ldp,5.0,fairlearn
fl_ldp_eps5_to_eo,lr,to_eo_lr,5554,0.6537216828478964,0.722243329956096,0.6433333333333333,0.6069182389937107,0.6843971631205674,ldp,5.0,fairlearn
fl_ldp_eps5_to_eo,rf,to_eo_rf,5554,0.6925566343042071,0.729968760553867,0.6631205673758865,0.6631205673758865,0.6631205673758865,ldp,5.0,fairlearn
fl_ldp_eps5_to_eo,xgb,to_eo_xgb,5554,0.6326860841423948,0.7013888888888888,0.6065857885615251,0.5932203389830508,0.6205673758865248,ldp,5.0,fairlearn
ldp_baseline_eps10,logistic_regression,ldp_baseline_eps10_logistic_regression,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,10.0,none
ldp_baseline_eps10,random_forest,ldp_baseline_eps10_random_forest,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,ldp,10.0,none
ldp_baseline_eps10,xgboost,ldp_baseline_eps10_xgboost,5554,0.6521035598705501,0.7052727119216481,0.6069469835466178,0.6264150943396226,0.5886524822695035,ldp,10.0,none
ldp_SCM_eps10,logistic_regression,ldp_SCM_eps10_logistic_regression,11106,0.6682847896440129,0.7171352583586627,0.5824847250509165,0.6842105263157895,0.5070921985815603,ldp,10.0,SCM
ldp_SCM_eps10,random_forest,ldp_SCM_eps10_random_forest,11106,0.6763754045307443,0.7324067038162783,0.6282527881040892,0.66015625,0.599290780141844,ldp,10.0,SCM
ldp_SCM_eps10,xgboost,ldp_SCM_eps10_xgboost,11106,0.6359223300970874,0.6810093718338399,0.585635359116022,0.6091954022988506,0.5638297872340425,ldp,10.0,SCM
ldp_update_labels_eps10,logistic_regression,ldp_update_labels_eps10_logistic_regression,5554,0.6521035598705501,0.713209219858156,0.6234676007005254,0.615916955017301,0.6312056737588653,ldp,10.0,update_labels
ldp_update_labels_eps10,random_forest,ldp_update_labels_eps10_random_forest,5554,0.6682847896440129,0.7090932117527863,0.6397188049209139,0.6341463414634146,0.6453900709219859,ldp,10.0,update_labels
ldp_update_labels_eps10,xgboost,ldp_update_labels_eps10_xgboost,5554,0.6472491909385113,0.6911305302262749,0.6175438596491228,0.6111111111111112,0.624113475177305,ldp,10.0,update_labels
ldp_add_comparators_eps10,logistic_regression,ldp_add_comparators_eps10_logistic_regression,8212,0.6699029126213593,0.7224966227625802,0.5659574468085106,0.7074468085106383,0.4716312056737589,ldp,10.0,add_comparators
ldp_add_comparators_eps10,random_forest,ldp_add_comparators_eps10_random_forest,8212,0.6796116504854369,0.7344330462681526,0.611764705882353,0.6842105263157895,0.5531914893617021,ldp,10.0,add_comparators
ldp_add_comparators_eps10,xgboost,ldp_add_comparators_eps10_xgboost,8212,0.63915857605178,0.6971990037149611,0.5768500948766604,0.6204081632653061,0.5390070921985816,ldp,10.0,add_comparators
ldp_add_comparators_bidir_eps10,logistic_regression,ldp_add_comparators_bidir_eps10_logistic_regression,11107,0.6747572815533981,0.7199636946977374,0.5821205821205822,0.7035175879396985,0.49645390070921985,ldp,10.0,add_comparators_bidir
ldp_add_comparators_bidir_eps10,random_forest,ldp_add_comparators_bidir_eps10_random_forest,11107,0.6812297734627831,0.7335781830462682,0.6233269598470363,0.6763485477178424,0.5780141843971631,ldp,10.0,add_comparators_bidir
ldp_add_comparators_bidir_eps10,xgboost,ldp_add_comparators_bidir_eps10_xgboost,11107,0.6375404530744336,0.6839222391084093,0.5741444866920152,0.6188524590163934,0.5354609929078015,ldp,10.0,add_comparators_bidir
fl_ldp_eps10_baseline,lr,baseline_lr,5554,0.6779935275080906,0.7222538838230328,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,10.0,fairlearn
fl_ldp_eps10_baseline,rf,baseline_rf,5554,0.6812297734627831,0.7329660587639311,0.6358595194085028,0.6640926640926641,0.6099290780141844,ldp,10.0,fairlearn
fl_ldp_eps10_baseline,xgb,baseline_xgb,5554,0.6521035598705501,0.7052727119216481,0.6069469835466178,0.6264150943396226,0.5886524822695035,ldp,10.0,fairlearn
fl_ldp_eps10_eg_dp,lr,eg_dp_lr,5554,0.6601941747572816,0.7125021107733873,0.5898437500000001,0.6565217391304348,0.5354609929078015,ldp,10.0,fairlearn
fl_ldp_eps10_eg_dp,rf,eg_dp_rf,5554,0.6731391585760518,0.7199425869638636,0.6353790613718412,0.6470588235294118,0.624113475177305,ldp,10.0,fairlearn
