scenario,family,model,flip_rate,proximity,plausibility,sparsity
ldp_baseline_eps3,xgboost,ldp_baseline_eps3_xgboost,1.0,0.044805668016194324,0.96,0.8575
ldp_SCM_eps3,logistic_regression,ldp_SCM_eps3_logistic_regression,1.0,0.20210796221322536,0.94,0.79
ldp_SCM_eps3,random_forest,ldp_SCM_eps3_random_forest,1.0,0.09737651821862349,0.9,0.805
ldp_SCM_eps3,xgboost,ldp_SCM_eps3_xgboost,1.0,0.04932208726945568,0.96,0.8475
ldp_update_labels_eps3,logistic_regression,ldp_update_labels_eps3_logistic_regression,1.0,0.20140800719748087,0.92,0.8
ldp_update_labels_eps3,random_forest,ldp_update_labels_eps3_random_forest,1.0,0.07973819163292847,0.9,0.805
ldp_update_labels_eps3,xgboost,ldp_update_labels_eps3_xgboost,1.0,0.04692442645074223,0.96,0.855
ldp_add_comparators_eps3,logistic_regression,ldp_add_comparators_eps3_logistic_regression,1.0,0.20939541160593791,1.0,0.795
ldp_add_comparators_eps3,random_forest,ldp_add_comparators_eps3_random_forest,1.0,0.08617543859649122,0.9,0.8025
ldp_add_comparators_eps3,xgboost,ldp_add_comparators_eps3_xgboost,1.0,0.0465600539811066,0.96,0.855
ldp_add_comparators_bidir_eps3,logistic_regression,ldp_add_comparators_bidir_eps3_logistic_regression,1.0,0.21303913630229418,1.0,0.8
ldp_add_comparators_bidir_eps3,random_forest,ldp_add_comparators_bidir_eps3_random_forest,1.0,0.08966621682411155,0.86,0.805
ldp_add_comparators_bidir_eps3,xgboost,ldp_add_comparators_bidir_eps3_xgboost,1.0,0.046015744489428696,0.96,0.8575
fl_ldp_eps3_baseline,lr,baseline_lr,1.0,0.21259694107062527,0.98,0.8075
fl_ldp_eps3_baseline,rf,baseline_rf,1.0,0.07523346828609986,0.9,0.8125
fl_ldp_eps3_baseline,xgb,baseline_xgb,1.0,0.044805668016194324,0.96,0.8575
fl_ldp_eps3_eg_dp,lr,eg_dp_lr,0.6,0.1892289698605488,0.94,0.805
fl_ldp_eps3_eg_dp,rf,eg_dp_rf,0.94,0.06878947368421053,0.94,0.825
fl_ldp_eps3_eg_dp,xgb,eg_dp_xgb,0.98,0.041472334682860997,0.96,0.8575
fl_ldp_eps3_eg_eo,lr,eg_eo_lr,0.68,0.1573774179037337,0.9,0.83
fl_ldp_eps3_eg_eo,rf,eg_eo_rf,0.92,0.06930229419703104,0.94,0.8275
fl_ldp_eps3_eg_eo,xgb,eg_eo_xgb,0.96,0.04256545209176787,0.96,0.85
